date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:44:33	28452/28452	---M-Z	200	added ('OK')	text/html	date:Sun,%2015%20Oct%202023%2012:14:34%20GMT	https://indiandryfruit.shop/single-products/138	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/single-products/138.html	(from https://indiandryfruit.shop/)
17:44:35	119754/119754	---M--	200	added ('OK')	image/jpeg	etag:%221d3ca-65280d88-f2c841cf57ee83f5;;;%22	https://indiandryfruit.shop/upload/product/6414230918193655.jpg	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/upload/product/6414230918193655.jpg	(from https://indiandryfruit.shop/)
17:44:35	23879/23879	---M-Z	200	added ('OK')	text/html	date:Sun,%2015%20Oct%202023%2012:14:36%20GMT	https://indiandryfruit.shop/single-products/137	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/single-products/137.html	(from https://indiandryfruit.shop/)
17:44:37	96537/96537	---M--	200	added ('OK')	image/jpeg	etag:%2217919-65280d88-c15195a5bd7eb166;;;%22	https://indiandryfruit.shop/upload/product/3149230918193244.jpg	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/upload/product/3149230918193244.jpg	(from https://indiandryfruit.shop/)
17:44:37	24088/24088	---M-Z	200	added ('OK')	text/html	date:Sun,%2015%20Oct%202023%2012:14:38%20GMT	https://indiandryfruit.shop/single-products/136	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/single-products/136.html	(from https://indiandryfruit.shop/)
17:44:38	58755/58755	---M--	200	added ('OK')	image/jpeg	etag:%22e583-65280d88-3049219d61bbe278;;;%22	https://indiandryfruit.shop/upload/product/3100230918192859.jpg	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/upload/product/3100230918192859.jpg	(from https://indiandryfruit.shop/)
17:44:39	24510/24510	---M-Z	200	added ('OK')	text/html	date:Sun,%2015%20Oct%202023%2012:14:40%20GMT	https://indiandryfruit.shop/single-products/135	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/single-products/135.html	(from https://indiandryfruit.shop/)
17:44:41	94563/94563	---M--	200	added ('OK')	image/jpeg	etag:%2217163-65280d88-e0cf0cdf59a2aab4;;;%22	https://indiandryfruit.shop/upload/product/8772230918192535.jpg	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/upload/product/8772230918192535.jpg	(from https://indiandryfruit.shop/)
17:44:42	24545/24545	---M-Z	200	added ('OK')	text/html	date:Sun,%2015%20Oct%202023%2012:14:42%20GMT	https://indiandryfruit.shop/single-products/134	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/single-products/134.html	(from https://indiandryfruit.shop/)
17:44:43	85249/85249	---M--	200	added ('OK')	image/jpeg	etag:%2214d01-65280d88-bec8ede236e513f0;;;%22	https://indiandryfruit.shop/upload/product/9815230918192005.jpg	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/upload/product/9815230918192005.jpg	(from https://indiandryfruit.shop/)
17:44:43	24493/24493	---M-Z	200	added ('OK')	text/html	date:Sun,%2015%20Oct%202023%2012:14:44%20GMT	https://indiandryfruit.shop/single-products/133	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/single-products/133.html	(from https://indiandryfruit.shop/)
17:44:45	179707/179707	---M--	200	added ('OK')	image/jpeg	etag:%222bdfb-65280d88-587637c0e9790dc5;;;%22	https://indiandryfruit.shop/upload/product/7698230918191317.jpg	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/upload/product/7698230918191317.jpg	(from https://indiandryfruit.shop/)
17:44:45	25503/25503	---M-Z	200	added ('OK')	text/html	date:Sun,%2015%20Oct%202023%2012:14:46%20GMT	https://indiandryfruit.shop/single-products/132	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/single-products/132.html	(from https://indiandryfruit.shop/)
